"filename", "language", "Python", "HTML", "pip requirements", "CSS", "Database", "JavaScript", "YAML", "comment", "blank", "total"
"c:\data\Gp_workplace\main\src\social\.github\workflows\master_spaceshare.yml", "YAML", 0, 0, 0, 0, 0, 0, 47, 4, 13, 64
"c:\data\Gp_workplace\main\src\social\autheno\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\autheno\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\autheno\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\data\Gp_workplace\main\src\social\autheno\cipher_auth.py", "Python", 106, 0, 0, 0, 0, 0, 0, 6, 21, 133
"c:\data\Gp_workplace\main\src\social\autheno\filehandler.py", "Python", 131, 0, 0, 0, 0, 0, 0, 25, 10, 166
"c:\data\Gp_workplace\main\src\social\autheno\forms.py", "Python", 85, 0, 0, 0, 0, 0, 0, 15, 12, 112
"c:\data\Gp_workplace\main\src\social\autheno\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\autheno\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\autheno\templates\authenticate\home.html", "HTML", 0, 216, 0, 0, 0, 0, 0, 0, 16, 232
"c:\data\Gp_workplace\main\src\social\autheno\templates\authenticate\homepage.html", "HTML", 0, 112, 0, 0, 0, 0, 0, 4, 5, 121
"c:\data\Gp_workplace\main\src\social\autheno\templates\authenticate\login-register.html", "HTML", 0, 221, 0, 0, 0, 0, 0, 0, 8, 229
"c:\data\Gp_workplace\main\src\social\autheno\templates\authenticate\login.html", "HTML", 0, 60, 0, 0, 0, 0, 0, 0, 7, 67
"c:\data\Gp_workplace\main\src\social\autheno\templates\authenticate\register.html", "HTML", 0, 51, 0, 0, 0, 0, 0, 0, 7, 58
"c:\data\Gp_workplace\main\src\social\autheno\templatetags\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\autheno\templatetags\some_tags.py", "Python", 40, 0, 0, 0, 0, 0, 0, 2, 4, 46
"c:\data\Gp_workplace\main\src\social\autheno\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\autheno\urls.py", "Python", 14, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\data\Gp_workplace\main\src\social\autheno\views.py", "Python", 142, 0, 0, 0, 0, 0, 0, 36, 20, 198
"c:\data\Gp_workplace\main\src\social\chat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\chat\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\chat\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
